keyword,nDCG@5,Precision@5,Recall@5,MRR
abatement of pollution,1,0.2,1,1
act of abating,1,0.2,1,1
active catalyst,1,0.24,1,1
eliminating process,1,0.2,1,1
forest region,1,0.2,1,1
greenhouse gases,1,0.2,1,1
increased rate,1,0.2,0.5,1
measurement level,1,0.2,1,1
minimising sounds,1,0.2,1,1
mixing core materials,1,0.2,1,1
multi pollution abatement device,1,0.2,1,1
noise reduction,1,0.2,1,1
pollution abatement,0.9598603946,0.3,1,1
pollution abatement incinerator,1,0.2,1,1
pollution certificate,1,0.2,1,1
rent abatement,1,0.2,1,1
sorbent material,1,0.2,1,1
source items pollution abatement technology,1,0.2,1,1
stone abutments,1,0.2,1,1
tax abatement,1,0.2,1,1
water bodies,1,0.4,1,1
emission abatement,1,0.2,1,1
prevention,1,0.2,1,1
prophylaxis,1,0.2,1,1
pollution abatement,1,0.2,1,1
abatement apparatus,1,0.2,1,1
treatment,1,0.2,1,1
abatement apparatus,1,0.2,1,1
abating,1,0.2,1,1
central hub,1,1,0.625,1
control panel,1,0.2,1,1
deficiency,1,0.2,1,1
diminished chord,1,0.2,1,1
diminished image,1,0.2,1,1
diminishing,1,0.2,1,1
eliminating,1,0.2,1,1
eliminating emissions,1,0.4,1,1
eliminating pollutants,1,0.2,1,1
increasing,1,0.2,1,1
increasing order,1,0.2,1,1
mitigation,1,0.2,1,1
pollution control,1,0.2,0.333333,1
processing unit,1,0.2,1,1
removing air pollutants,1,0.2,1,1
subsiding,1,0.2,1,1
treating emissions,1,0.2,1,1
noise abatement,1,0.2,1,1
noise abatement,1,0.2,1,1
emission abatement,1,0.2,1,1
abnormal position data,1,0.2,1,1
attitude,1,0.2,1,1
closed position shown,1,0.2,1,1
condition illustrated,1,0.2,1,1
condition shown,0.6309297536,0.2,1,1
data,1,0.2,1,1
information,1,0.24,1,1
inoperative condition,1,0.2,1,1
inoperative position,1,0.2,1,1
open as shown,1,0.2,1,1
open condition,1,0.2,1,1
open position,1,0.2,1,1
open position illustrated,1,0.2,1,1
open position shown,1,0.2,1,1
orientation,1,0.2,1,1
position illustrated,1,0.2,1,1
position shown,1,0.2,1,1
tip data,1,0.3333333333,1,1
tip information,1,0.2,1,1
wear data,1,0.2,1,1
angular position,1,0.2,1,1
positions,1,0.2,1,1
abnormal breathing,1,0.2,1,1
abnormal manner,1,0.2,1,1
abnormal placement,1,0.3,1,1
abnormal posture,1,0.2,1,1
abnormal profit,1,0.2,1,1
abnormal side,1,0.2,1,1
anomaly scan,1,0.2,1,1
depression,1,0.2,1,1
deviated from,1,0.2,1,1
engagement,1,0.2,1,1
implant positioning,1,0.2,1,1
irregular configuration,1,0.2,1,1
locked position,1,0.2,1,1
locked relationship,1,0.2,1,1
normal position,1,0.2,1,1
odd position,1,0.2,1,1
place,1,0.2,1,1
position,1,0.4,1,1
position isomerism,1,0.2,1,1
position vector,1,0.2,1,1
rare placement,1,0.2,1,1
recess,1,0.2,1,1
relative position,1,0.2,1,1
relative relationship,1,0.2,1,1
situation,1,0.2,1,1
unexpected position,1,0.2,1,1
unison,1,0.2,1,1
unusal arrangement,1,0.2,1,1
unusual manner,1,0.2,1,1
abnormal,1,0.2,1,1
abnormal condition,1,0.2,1,1
abnormal molar mass,1,0.2,1,1
abnormal presentations,1,0.2,1,1
abnormal psychology,1,0.2,1,1
abnormality state,1,0.2,0.5,1
axial position,1,0.2,1,1
elevation,1,0.2,1,1
emergency condition,1,0.2,0.8333333333,1
emergency position,1,0.2,1,1
extent,1,0.2,1,1
facing forward,1,0.2,1,1
failure,1,0.2,1,1
fault position,1,0.2,1,1
fixed failure,1,0.2,1,1
forward axis,1,0.2,1,1
hardware abnormality,1,0.2,1,1
hardware manufacturer,1,0.2,1,1
inoperative position,1,0.3,1,1
leakage,1,0.2,1,1
normal position,1,0.32,0.8666668,1
open position,1,0.4,1,1
operating abnormality,1,0.2,1,1
operative position,1,0.2,1,1
overflow,1,0.2,1,1
position vector,1,0.35,1,1
state name,1,0.2,1,1
unusual position,1,0.2,1,1
unusual state,1,0.2285714286,0.8571428571,1
upper position,1,0.2,1,1
warning,1,0.2,1,1
adsorbent properties,1,0.2,1,1
cao,1,0.2,1,1
characterization,1,0.2,1,1
collateral properties,1,0.2,1,1
colligative properties,1,0.2,1,1
conformational properties,1,0.2,1,1
dehumidifying properties,1,0.2,1,1
elastomeric properties,1,0.2,1,1
evaporated salt,1,0.2,1,1
fluorescent properties,1,0.2,1,1
geometrical properties,1,0.2,1,1
